field,records_present,records_missing,percent_present,why_it_matters
ATCOCode,421252,0,100.0,Unique stop identifier used to link stop records across systems.
NaptanCode,406794,14458,96.6,"Public-facing stop code suitable for signs, SMS, apps, and passenger information."
CommonName,421252,0,100.0,Passenger-facing stop name.
Street,399135,22117,94.7,Street context helps passengers find and distinguish stops.
Indicator,403662,17590,95.8,"Short qualifier such as opposite, outside, bay, or stop number."
Bearing,411237,10015,97.6,Direction of travel at the stop.
LocalityName,421243,9,100.0,Local place name used to group and present stops.
Longitude,369256,51996,87.7,Coordinate needed for mapping and spatial accessibility checks.
Latitude,369256,51996,87.7,Coordinate needed for mapping and spatial accessibility checks.
BusStopType,416230,5022,98.8,Classifies the physical bus stop type where supplied.
TimingStatus,419424,1828,99.6,Indicates timing-point status used in bus service information.
