administrative_area_code,administrative_area_name,stop_count,with_coordinates,with_coordinates_percent,with_naptan_code,with_naptan_code_percent,with_street,with_street_percent,with_indicator,with_indicator_percent,with_bearing,with_bearing_percent,with_locality,with_locality_percent
083,Greater Manchester,20614,20614,100.0,13713,66.5,20402,99.0,20532,99.6,19831,96.2,20614,100.0
082,Greater London,19991,19991,100.0,19226,96.2,11850,59.3,19990,100.0,18863,94.4,19991,100.0
107,West Yorkshire,16578,16578,100.0,16578,100.0,16578,100.0,8566,51.7,16305,98.4,16578,100.0
105,West Midlands,15333,0,0.0,15307,99.8,15333,100.0,14332,93.5,15111,98.6,15333,100.0
099,South Yorkshire,10450,10450,100.0,10450,100.0,10450,100.0,9127,87.3,10258,98.2,10450,100.0
086,Kent,9108,9108,100.0,9059,99.5,9108,100.0,9104,100.0,9033,99.2,9108,100.0
080,Essex,8604,8604,100.0,8604,100.0,8604,100.0,8576,99.7,8458,98.3,8604,100.0
087,Lancashire,8421,8421,100.0,7990,94.9,8419,100.0,8421,100.0,8208,97.5,8421,100.0
075,Derbyshire,7999,7999,100.0,7894,98.7,7992,99.9,7991,99.9,7957,99.5,7999,100.0
090,Merseyside,7703,7703,100.0,6533,84.8,7614,98.8,7699,99.9,6507,84.5,7703,100.0
089,Lincolnshire,7356,7356,100.0,6847,93.1,6663,90.6,6502,88.4,6563,89.2,7356,100.0
091,Norfolk,7178,0,0.0,7171,99.9,7171,99.9,7144,99.5,7139,99.5,7178,100.0
084,Hampshire,7127,7127,100.0,7111,99.8,7048,98.9,7125,100.0,6960,97.7,7127,100.0
103,Tyne & Wear,7081,7081,100.0,7068,99.8,7081,100.0,7041,99.4,6915,97.7,7081,100.0
101,Suffolk,7063,7063,100.0,7062,100.0,6277,88.9,7042,99.7,6979,98.8,7063,100.0
076,Devon,6956,6956,100.0,6951,99.9,5229,75.2,6951,99.9,6855,98.5,6956,100.0
102,Surrey,6951,6951,100.0,6925,99.6,6951,100.0,6947,99.9,6907,99.4,6951,100.0
081,Gloucestershire,6934,6934,100.0,6872,99.1,5660,81.6,6891,99.4,6800,98.1,6934,100.0
100,Staffordshire,6699,6699,100.0,4340,64.8,6699,100.0,6699,100.0,6638,99.1,6699,100.0
106,West Sussex,6592,6592,100.0,6523,99.0,6592,100.0,6591,100.0,6560,99.5,6592,100.0
073,Cornwall,6322,6322,100.0,6322,100.0,3512,55.6,6322,100.0,6270,99.2,6322,100.0
095,Nottinghamshire,6269,6269,100.0,6172,98.5,6269,100.0,6192,98.8,6132,97.8,6269,100.0
085,Hertfordshire,5992,5992,100.0,5984,99.9,5992,100.0,5969,99.6,5927,98.9,5992,100.0
078,Durham,5532,5532,100.0,5293,95.7,5531,100.0,5530,100.0,5434,98.2,5532,100.0
074,Cumbria,5131,0,0.0,5008,97.6,5131,100.0,5131,100.0,5069,98.8,5131,100.0
092,North Yorkshire,5062,5062,100.0,4971,98.2,5062,100.0,5062,100.0,5060,100.0,5062,100.0
108,Wiltshire,4974,4974,100.0,4974,100.0,4433,89.1,4970,99.9,4946,99.4,4974,100.0
098,Somerset,4515,4515,100.0,4457,98.7,3440,76.2,4494,99.5,4437,98.3,4515,100.0
126,Fife,4448,4448,100.0,4381,98.5,4446,100.0,4442,99.9,4338,97.5,4448,100.0
096,Oxfordshire,4412,4412,100.0,4412,100.0,4315,97.8,4412,100.0,4146,94.0,4412,100.0
109,Worcestershire,4408,4408,100.0,4404,99.9,4394,99.7,4370,99.1,4361,98.9,4408,100.0
088,Leicestershire,4381,4381,100.0,4365,99.6,4378,99.9,4366,99.7,4375,99.9,4381,100.0
104,Warwickshire,4210,4210,100.0,4200,99.8,4208,100.0,4204,99.9,4188,99.5,4210,100.0
079,East Sussex,3914,3914,100.0,3910,99.9,3914,100.0,3912,99.9,3906,99.8,3914,100.0
071,Cambridgeshire,3868,0,0.0,3639,94.1,3864,99.9,3868,100.0,3827,98.9,3868,100.0
077,Dorset,3820,3820,100.0,3819,100.0,2965,77.6,3819,100.0,3786,99.1,3820,100.0
128,Highland,3812,3812,100.0,3812,100.0,3343,87.7,3808,99.9,3759,98.6,3812,100.0
127,Glasgow,3670,0,0.0,3661,99.8,3670,100.0,3670,100.0,3670,100.0,3670,100.0
070,Buckinghamshire,3476,3476,100.0,3428,98.6,3476,100.0,3346,96.3,3417,98.3,3469,99.8
093,West Northamptonshire,3121,3121,100.0,2935,94.0,3087,98.9,2925,93.7,2667,85.5,3121,100.0
097,Shropshire,3115,15,0.5,3027,97.2,3114,100.0,3110,99.8,3082,98.9,3115,100.0
094,Northumberland,3069,3069,100.0,3067,99.9,3069,100.0,3029,98.7,3036,98.9,3069,100.0
072,Cheshire East,3022,3022,100.0,2934,97.1,3021,100.0,3020,99.9,2954,97.7,3022,100.0
112,Aberdeenshire,2831,2831,100.0,2830,100.0,2831,100.0,2817,99.5,2822,99.7,2831,100.0
124,Edinburgh,2740,2740,100.0,2736,99.9,2739,100.0,2737,99.9,2717,99.2,2740,100.0
152,Cheshire West & Chester,2701,2701,100.0,2674,99.0,2701,100.0,2693,99.7,2663,98.6,2701,100.0
012,Carmarthenshire,2404,2404,100.0,2404,100.0,2400,99.8,92,3.8,2377,98.9,2404,100.0
153,North Northamptonshire,2354,2354,100.0,2351,99.9,2314,98.3,2322,98.6,2161,91.8,2354,100.0
135,Perth & Kinross,2267,2267,100.0,2266,100.0,2267,100.0,2252,99.3,2257,99.6,2267,100.0
118,Dumfries & Galloway,2163,2163,100.0,2160,99.9,2163,100.0,2158,99.8,2151,99.4,2163,100.0
018,East Riding of Yorkshire,2148,2148,100.0,2148,100.0,2148,100.0,2146,99.9,2146,99.9,2148,100.0
023,Herefordshire,2018,2018,100.0,2018,100.0,2009,99.6,2014,99.8,2015,99.9,2018,100.0
133,North Lanarkshire,2003,0,0.0,2003,100.0,2003,100.0,2003,100.0,2003,100.0,2003,100.0
042,Plymouth,1907,1907,100.0,1907,100.0,1549,81.2,1907,100.0,1887,99.0,1907,100.0
151,Central Bedfordshire,1897,1897,100.0,1897,100.0,1351,71.2,1897,100.0,1849,97.5,1897,100.0
142,Western Isles,1865,1865,100.0,1861,99.8,1863,99.9,1865,100.0,1855,99.5,1865,100.0
056,Swansea,1854,1854,100.0,1854,100.0,1853,99.9,1843,99.4,1818,98.1,1854,100.0
139,South Lanarkshire,1843,0,0.0,1832,99.4,1843,100.0,1843,100.0,1843,100.0,1843,100.0
011,Cardiff,1817,1817,100.0,1817,100.0,1813,99.8,1776,97.7,1817,100.0,1817,100.0
039,Nottingham,1808,1808,100.0,1800,99.6,1808,100.0,1772,98.0,1769,97.8,1808,100.0
113,Angus,1804,0,0.0,1804,100.0,1677,93.0,1802,99.9,1795,99.5,1804,100.0
020,Gwynedd,1785,1785,100.0,1785,100.0,1784,99.9,1709,95.7,1764,98.8,1785,100.0
051,South Gloucestershire,1756,1756,100.0,1756,100.0,1689,96.2,1756,100.0,1742,99.2,1756,100.0
055,Stoke-on-Trent,1680,1680,100.0,1680,100.0,1680,100.0,1680,100.0,1640,97.6,1680,100.0
027,Leicester,1665,1665,100.0,1664,99.9,1643,98.7,1662,99.8,1615,97.0,1665,100.0
048,Rhondda Cynon Taff,1633,1633,100.0,1633,100.0,1631,99.9,1591,97.4,1582,96.9,1633,100.0
009,Bristol,1628,1628,100.0,1628,100.0,1597,98.1,1628,100.0,1609,98.8,1628,100.0
111,Aberdeen,1609,1609,100.0,1609,100.0,1609,100.0,1608,99.9,1594,99.1,1609,100.0
032,Milton Keynes,1571,1571,100.0,1555,99.0,1571,100.0,1506,95.9,1541,98.1,1571,100.0
017,Derby,1547,1547,100.0,1534,99.2,1547,100.0,1545,99.9,1518,98.1,1547,100.0
026,Kingston upon Hull,1490,1490,100.0,1489,99.9,1490,100.0,185,12.4,1443,96.8,1490,100.0
