period,period_type,measure,value,growth_from_previous_percent,source_series
1955 Q1,quarters,GDP chained volume measure index,145457.0,,ABMI
1955 Q2,quarters,GDP chained volume measure index,145551.0,0.065,ABMI
1955 Q3,quarters,GDP chained volume measure index,147995.0,1.679,ABMI
1955 Q4,quarters,GDP chained volume measure index,147119.0,-0.592,ABMI
1956 Q1,quarters,GDP chained volume measure index,148955.0,1.248,ABMI
1956 Q2,quarters,GDP chained volume measure index,148835.0,-0.081,ABMI
1956 Q3,quarters,GDP chained volume measure index,148665.0,-0.114,ABMI
1956 Q4,quarters,GDP chained volume measure index,149607.0,0.634,ABMI
1957 Q1,quarters,GDP chained volume measure index,152331.0,1.821,ABMI
1957 Q2,quarters,GDP chained volume measure index,152285.0,-0.03,ABMI
1957 Q3,quarters,GDP chained volume measure index,151340.0,-0.621,ABMI
1957 Q4,quarters,GDP chained volume measure index,151857.0,0.342,ABMI
1958 Q1,quarters,GDP chained volume measure index,155117.0,2.147,ABMI
1958 Q2,quarters,GDP chained volume measure index,151257.0,-2.488,ABMI
1958 Q3,quarters,GDP chained volume measure index,154551.0,2.178,ABMI
1958 Q4,quarters,GDP chained volume measure index,155042.0,0.318,ABMI
1959 Q1,quarters,GDP chained volume measure index,156009.0,0.624,ABMI
1959 Q2,quarters,GDP chained volume measure index,158487.0,1.588,ABMI
1959 Q3,quarters,GDP chained volume measure index,161850.0,2.122,ABMI
1959 Q4,quarters,GDP chained volume measure index,165941.0,2.528,ABMI
1960 Q1,quarters,GDP chained volume measure index,170121.0,2.519,ABMI
1960 Q2,quarters,GDP chained volume measure index,168948.0,-0.69,ABMI
1960 Q3,quarters,GDP chained volume measure index,171442.0,1.476,ABMI
1960 Q4,quarters,GDP chained volume measure index,172382.0,0.548,ABMI
1961 Q1,quarters,GDP chained volume measure index,175276.0,1.679,ABMI
1961 Q2,quarters,GDP chained volume measure index,175974.0,0.398,ABMI
1961 Q3,quarters,GDP chained volume measure index,175126.0,-0.482,ABMI
1961 Q4,quarters,GDP chained volume measure index,174768.0,-0.204,ABMI
1962 Q1,quarters,GDP chained volume measure index,175568.0,0.458,ABMI
1962 Q2,quarters,GDP chained volume measure index,177216.0,0.939,ABMI
1962 Q3,quarters,GDP chained volume measure index,178265.0,0.592,ABMI
1962 Q4,quarters,GDP chained volume measure index,177632.0,-0.355,ABMI
1963 Q1,quarters,GDP chained volume measure index,178493.0,0.485,ABMI
1963 Q2,quarters,GDP chained volume measure index,186171.0,4.302,ABMI
1963 Q3,quarters,GDP chained volume measure index,187001.0,0.446,ABMI
1963 Q4,quarters,GDP chained volume measure index,191230.0,2.261,ABMI
1964 Q1,quarters,GDP chained volume measure index,192542.0,0.686,ABMI
1964 Q2,quarters,GDP chained volume measure index,196109.0,1.853,ABMI
1964 Q3,quarters,GDP chained volume measure index,196783.0,0.344,ABMI
1964 Q4,quarters,GDP chained volume measure index,199854.0,1.561,ABMI
1965 Q1,quarters,GDP chained volume measure index,199276.0,-0.289,ABMI
1965 Q2,quarters,GDP chained volume measure index,199419.0,0.072,ABMI
1965 Q3,quarters,GDP chained volume measure index,200957.0,0.771,ABMI
1965 Q4,quarters,GDP chained volume measure index,202259.0,0.648,ABMI
1966 Q1,quarters,GDP chained volume measure index,202588.0,0.163,ABMI
1966 Q2,quarters,GDP chained volume measure index,203766.0,0.581,ABMI
1966 Q3,quarters,GDP chained volume measure index,204428.0,0.325,ABMI
1966 Q4,quarters,GDP chained volume measure index,203611.0,-0.4,ABMI
