period,period_type,measure,value,change_from_previous,source_series
1989 JAN,months,CPIH annual inflation rate,5.7,,L55O
1989 FEB,months,CPIH annual inflation rate,5.8,0.1,L55O
1989 MAR,months,CPIH annual inflation rate,5.9,0.1,L55O
1989 APR,months,CPIH annual inflation rate,5.6,-0.3,L55O
1989 MAY,months,CPIH annual inflation rate,5.9,0.3,L55O
1989 JUN,months,CPIH annual inflation rate,5.8,-0.1,L55O
1989 JUL,months,CPIH annual inflation rate,5.7,-0.1,L55O
1989 AUG,months,CPIH annual inflation rate,5.5,-0.2,L55O
1989 SEP,months,CPIH annual inflation rate,5.7,0.2,L55O
1989 OCT,months,CPIH annual inflation rate,5.8,0.1,L55O
1989 NOV,months,CPIH annual inflation rate,5.7,-0.1,L55O
1989 DEC,months,CPIH annual inflation rate,5.8,0.1,L55O
1990 JAN,months,CPIH annual inflation rate,5.9,0.1,L55O
1990 FEB,months,CPIH annual inflation rate,6.3,0.4,L55O
1990 MAR,months,CPIH annual inflation rate,6.2,-0.1,L55O
1990 APR,months,CPIH annual inflation rate,7.7,1.5,L55O
1990 MAY,months,CPIH annual inflation rate,8.2,0.5,L55O
1990 JUN,months,CPIH annual inflation rate,8.2,0.0,L55O
1990 JUL,months,CPIH annual inflation rate,8.2,0.0,L55O
1990 AUG,months,CPIH annual inflation rate,8.9,0.7,L55O
1990 SEP,months,CPIH annual inflation rate,9.2,0.3,L55O
1990 OCT,months,CPIH annual inflation rate,9.2,0.0,L55O
1990 NOV,months,CPIH annual inflation rate,9.2,0.0,L55O
1990 DEC,months,CPIH annual inflation rate,9.2,0.0,L55O
1991 JAN,months,CPIH annual inflation rate,8.6,-0.6,L55O
1991 FEB,months,CPIH annual inflation rate,8.2,-0.4,L55O
1991 MAR,months,CPIH annual inflation rate,8.3,0.1,L55O
1991 APR,months,CPIH annual inflation rate,8.0,-0.3,L55O
1991 MAY,months,CPIH annual inflation rate,7.5,-0.5,L55O
1991 JUN,months,CPIH annual inflation rate,7.7,0.2,L55O
1991 JUL,months,CPIH annual inflation rate,7.5,-0.2,L55O
1991 AUG,months,CPIH annual inflation rate,7.5,0.0,L55O
1991 SEP,months,CPIH annual inflation rate,6.9,-0.6,L55O
1991 OCT,months,CPIH annual inflation rate,6.5,-0.4,L55O
1991 NOV,months,CPIH annual inflation rate,6.5,0.0,L55O
1991 DEC,months,CPIH annual inflation rate,6.5,0.0,L55O
1992 JAN,months,CPIH annual inflation rate,6.2,-0.3,L55O
1992 FEB,months,CPIH annual inflation rate,6.3,0.1,L55O
1992 MAR,months,CPIH annual inflation rate,6.2,-0.1,L55O
1992 APR,months,CPIH annual inflation rate,5.2,-1.0,L55O
1992 MAY,months,CPIH annual inflation rate,5.1,-0.1,L55O
1992 JUN,months,CPIH annual inflation rate,4.6,-0.5,L55O
1992 JUL,months,CPIH annual inflation rate,4.5,-0.1,L55O
1992 AUG,months,CPIH annual inflation rate,3.7,-0.8,L55O
1992 SEP,months,CPIH annual inflation rate,3.7,0.0,L55O
1992 OCT,months,CPIH annual inflation rate,3.5,-0.2,L55O
1992 NOV,months,CPIH annual inflation rate,3.3,-0.2,L55O
1992 DEC,months,CPIH annual inflation rate,3.2,-0.1,L55O
1993 JAN,months,CPIH annual inflation rate,3.0,-0.2,L55O
1993 FEB,months,CPIH annual inflation rate,3.1,0.1,L55O
1993 MAR,months,CPIH annual inflation rate,3.2,0.1,L55O
1993 APR,months,CPIH annual inflation rate,2.6,-0.6,L55O
1993 MAY,months,CPIH annual inflation rate,2.3,-0.3,L55O
1993 JUN,months,CPIH annual inflation rate,2.2,-0.1,L55O
1993 JUL,months,CPIH annual inflation rate,2.3,0.1,L55O
1993 AUG,months,CPIH annual inflation rate,2.6,0.3,L55O
1993 SEP,months,CPIH annual inflation rate,2.7,0.1,L55O
1993 OCT,months,CPIH annual inflation rate,2.4,-0.3,L55O
1993 NOV,months,CPIH annual inflation rate,2.1,-0.3,L55O
1993 DEC,months,CPIH annual inflation rate,2.3,0.2,L55O
1994 JAN,months,CPIH annual inflation rate,2.6,0.3,L55O
1994 FEB,months,CPIH annual inflation rate,2.4,-0.2,L55O
1994 MAR,months,CPIH annual inflation rate,2.2,-0.2,L55O
1994 APR,months,CPIH annual inflation rate,2.4,0.2,L55O
1994 MAY,months,CPIH annual inflation rate,2.4,0.0,L55O
1994 JUN,months,CPIH annual inflation rate,2.3,-0.1,L55O
1994 JUL,months,CPIH annual inflation rate,2.1,-0.2,L55O
1994 AUG,months,CPIH annual inflation rate,2.2,0.1,L55O
1994 SEP,months,CPIH annual inflation rate,1.9,-0.3,L55O
1994 OCT,months,CPIH annual inflation rate,1.8,-0.1,L55O
1994 NOV,months,CPIH annual inflation rate,2.1,0.3,L55O
1994 DEC,months,CPIH annual inflation rate,2.2,0.1,L55O
1995 JAN,months,CPIH annual inflation rate,2.4,0.2,L55O
1995 FEB,months,CPIH annual inflation rate,2.3,-0.1,L55O
1995 MAR,months,CPIH annual inflation rate,2.4,0.1,L55O
1995 APR,months,CPIH annual inflation rate,2.3,-0.1,L55O
1995 MAY,months,CPIH annual inflation rate,2.6,0.3,L55O
1995 JUN,months,CPIH annual inflation rate,2.7,0.1,L55O
1995 JUL,months,CPIH annual inflation rate,2.8,0.1,L55O
1995 AUG,months,CPIH annual inflation rate,2.7,-0.1,L55O
1995 SEP,months,CPIH annual inflation rate,3.0,0.3,L55O
1995 OCT,months,CPIH annual inflation rate,3.0,0.0,L55O
1995 NOV,months,CPIH annual inflation rate,2.9,-0.1,L55O
1995 DEC,months,CPIH annual inflation rate,3.1,0.2,L55O
1996 JAN,months,CPIH annual inflation rate,2.9,-0.2,L55O
1996 FEB,months,CPIH annual inflation rate,3.0,0.1,L55O
1996 MAR,months,CPIH annual inflation rate,3.0,0.0,L55O
1996 APR,months,CPIH annual inflation rate,2.8,-0.2,L55O
1996 MAY,months,CPIH annual inflation rate,2.8,0.0,L55O
1996 JUN,months,CPIH annual inflation rate,2.8,0.0,L55O
1996 JUL,months,CPIH annual inflation rate,2.7,-0.1,L55O
1996 AUG,months,CPIH annual inflation rate,2.7,0.0,L55O
1996 SEP,months,CPIH annual inflation rate,2.7,0.0,L55O
1996 OCT,months,CPIH annual inflation rate,3.0,0.3,L55O
1996 NOV,months,CPIH annual inflation rate,3.1,0.1,L55O
1996 DEC,months,CPIH annual inflation rate,2.8,-0.3,L55O
1997 JAN,months,CPIH annual inflation rate,2.6,-0.2,L55O
1997 FEB,months,CPIH annual inflation rate,2.4,-0.2,L55O
1997 MAR,months,CPIH annual inflation rate,2.2,-0.2,L55O
1997 APR,months,CPIH annual inflation rate,2.1,-0.1,L55O
1997 MAY,months,CPIH annual inflation rate,2.1,0.0,L55O
1997 JUN,months,CPIH annual inflation rate,2.1,0.0,L55O
1997 JUL,months,CPIH annual inflation rate,2.4,0.3,L55O
1997 AUG,months,CPIH annual inflation rate,2.3,-0.1,L55O
1997 SEP,months,CPIH annual inflation rate,2.2,-0.1,L55O
1997 OCT,months,CPIH annual inflation rate,2.2,0.0,L55O
1997 NOV,months,CPIH annual inflation rate,2.1,-0.1,L55O
1997 DEC,months,CPIH annual inflation rate,1.9,-0.2,L55O
1998 JAN,months,CPIH annual inflation rate,1.8,-0.1,L55O
1998 FEB,months,CPIH annual inflation rate,1.8,0.0,L55O
1998 MAR,months,CPIH annual inflation rate,1.9,0.1,L55O
1998 APR,months,CPIH annual inflation rate,2.1,0.2,L55O
1998 MAY,months,CPIH annual inflation rate,2.2,0.1,L55O
1998 JUN,months,CPIH annual inflation rate,1.9,-0.3,L55O
1998 JUL,months,CPIH annual inflation rate,1.7,-0.2,L55O
1998 AUG,months,CPIH annual inflation rate,1.6,-0.1,L55O
1998 SEP,months,CPIH annual inflation rate,1.7,0.1,L55O
1998 OCT,months,CPIH annual inflation rate,1.6,-0.1,L55O
1998 NOV,months,CPIH annual inflation rate,1.7,0.1,L55O
1998 DEC,months,CPIH annual inflation rate,1.9,0.2,L55O
1999 JAN,months,CPIH annual inflation rate,2.0,0.1,L55O
1999 FEB,months,CPIH annual inflation rate,1.9,-0.1,L55O
1999 MAR,months,CPIH annual inflation rate,2.1,0.2,L55O
1999 APR,months,CPIH annual inflation rate,2.0,-0.1,L55O
1999 MAY,months,CPIH annual inflation rate,1.7,-0.3,L55O
1999 JUN,months,CPIH annual inflation rate,1.8,0.1,L55O
1999 JUL,months,CPIH annual inflation rate,1.7,-0.1,L55O
1999 AUG,months,CPIH annual inflation rate,1.6,-0.1,L55O
1999 SEP,months,CPIH annual inflation rate,1.6,0.0,L55O
1999 OCT,months,CPIH annual inflation rate,1.5,-0.1,L55O
1999 NOV,months,CPIH annual inflation rate,1.5,0.0,L55O
1999 DEC,months,CPIH annual inflation rate,1.5,0.0,L55O
2000 JAN,months,CPIH annual inflation rate,1.2,-0.3,L55O
2000 FEB,months,CPIH annual inflation rate,1.2,0.0,L55O
2000 MAR,months,CPIH annual inflation rate,1.0,-0.2,L55O
2000 APR,months,CPIH annual inflation rate,0.9,-0.1,L55O
2000 MAY,months,CPIH annual inflation rate,1.0,0.1,L55O
2000 JUN,months,CPIH annual inflation rate,1.2,0.2,L55O
2000 JUL,months,CPIH annual inflation rate,1.2,0.0,L55O
2000 AUG,months,CPIH annual inflation rate,1.0,-0.2,L55O
2000 SEP,months,CPIH annual inflation rate,1.3,0.3,L55O
2000 OCT,months,CPIH annual inflation rate,1.4,0.1,L55O
2000 NOV,months,CPIH annual inflation rate,1.5,0.1,L55O
2000 DEC,months,CPIH annual inflation rate,1.2,-0.3,L55O
2001 JAN,months,CPIH annual inflation rate,1.2,0.0,L55O
2001 FEB,months,CPIH annual inflation rate,1.2,0.0,L55O
2001 MAR,months,CPIH annual inflation rate,1.3,0.1,L55O
2001 APR,months,CPIH annual inflation rate,1.5,0.2,L55O
2001 MAY,months,CPIH annual inflation rate,1.9,0.4,L55O
2001 JUN,months,CPIH annual inflation rate,1.9,0.0,L55O
2001 JUL,months,CPIH annual inflation rate,1.7,-0.2,L55O
2001 AUG,months,CPIH annual inflation rate,2.1,0.4,L55O
2001 SEP,months,CPIH annual inflation rate,1.7,-0.4,L55O
2001 OCT,months,CPIH annual inflation rate,1.6,-0.1,L55O
