period,period_type,area_code,area_name,measure,population,change_from_previous,percent_change_from_previous,source_series
1971,years,K02000001,United Kingdom,UK population estimate,55928000,,,UKPOP
1972,years,K02000001,United Kingdom,UK population estimate,56096700,168700,0.302,UKPOP
1973,years,K02000001,United Kingdom,UK population estimate,56222900,126200,0.225,UKPOP
1974,years,K02000001,United Kingdom,UK population estimate,56235600,12700,0.023,UKPOP
1975,years,K02000001,United Kingdom,UK population estimate,56225700,-9900,-0.018,UKPOP
1976,years,K02000001,United Kingdom,UK population estimate,56216100,-9600,-0.017,UKPOP
1977,years,K02000001,United Kingdom,UK population estimate,56189900,-26200,-0.047,UKPOP
1978,years,K02000001,United Kingdom,UK population estimate,56178000,-11900,-0.021,UKPOP
1979,years,K02000001,United Kingdom,UK population estimate,56240100,62100,0.111,UKPOP
1980,years,K02000001,United Kingdom,UK population estimate,56329700,89600,0.159,UKPOP
1981,years,K02000001,United Kingdom,UK population estimate,56357500,27800,0.049,UKPOP
1982,years,K02000001,United Kingdom,UK population estimate,56290700,-66800,-0.119,UKPOP
1983,years,K02000001,United Kingdom,UK population estimate,56315700,25000,0.044,UKPOP
1984,years,K02000001,United Kingdom,UK population estimate,56409300,93600,0.166,UKPOP
1985,years,K02000001,United Kingdom,UK population estimate,56554000,144700,0.257,UKPOP
1986,years,K02000001,United Kingdom,UK population estimate,56683800,129800,0.23,UKPOP
1987,years,K02000001,United Kingdom,UK population estimate,56804000,120200,0.212,UKPOP
1988,years,K02000001,United Kingdom,UK population estimate,56916400,112400,0.198,UKPOP
1989,years,K02000001,United Kingdom,UK population estimate,57076500,160100,0.281,UKPOP
1990,years,K02000001,United Kingdom,UK population estimate,57237500,161000,0.282,UKPOP
1991,years,K02000001,United Kingdom,UK population estimate,57438700,201200,0.352,UKPOP
1992,years,K02000001,United Kingdom,UK population estimate,57584500,145800,0.254,UKPOP
1993,years,K02000001,United Kingdom,UK population estimate,57713900,129400,0.225,UKPOP
1994,years,K02000001,United Kingdom,UK population estimate,57862100,148200,0.257,UKPOP
1995,years,K02000001,United Kingdom,UK population estimate,58024800,162700,0.281,UKPOP
1996,years,K02000001,United Kingdom,UK population estimate,58164400,139600,0.241,UKPOP
1997,years,K02000001,United Kingdom,UK population estimate,58314200,149800,0.258,UKPOP
1998,years,K02000001,United Kingdom,UK population estimate,58474900,160700,0.276,UKPOP
1999,years,K02000001,United Kingdom,UK population estimate,58684400,209500,0.358,UKPOP
2000,years,K02000001,United Kingdom,UK population estimate,58886100,201700,0.344,UKPOP
2001,years,K02000001,United Kingdom,UK population estimate,59113000,226900,0.385,UKPOP
2002,years,K02000001,United Kingdom,UK population estimate,59365700,252700,0.427,UKPOP
2003,years,K02000001,United Kingdom,UK population estimate,59636700,271000,0.456,UKPOP
2004,years,K02000001,United Kingdom,UK population estimate,59950400,313700,0.526,UKPOP
2005,years,K02000001,United Kingdom,UK population estimate,60413300,462900,0.772,UKPOP
2006,years,K02000001,United Kingdom,UK population estimate,60827000,413700,0.685,UKPOP
2007,years,K02000001,United Kingdom,UK population estimate,61319100,492100,0.809,UKPOP
2008,years,K02000001,United Kingdom,UK population estimate,61823800,504700,0.823,UKPOP
2009,years,K02000001,United Kingdom,UK population estimate,62260500,436700,0.706,UKPOP
2010,years,K02000001,United Kingdom,UK population estimate,62759500,499000,0.801,UKPOP
2011,years,K02000001,United Kingdom,UK population estimate,63285100,525600,0.837,UKPOP
2012,years,K02000001,United Kingdom,UK population estimate,63710500,425400,0.672,UKPOP
2013,years,K02000001,United Kingdom,UK population estimate,64138200,427700,0.671,UKPOP
2014,years,K02000001,United Kingdom,UK population estimate,64618700,480500,0.749,UKPOP
2015,years,K02000001,United Kingdom,UK population estimate,65087000,468300,0.725,UKPOP
2016,years,K02000001,United Kingdom,UK population estimate,65605800,518800,0.797,UKPOP
2017,years,K02000001,United Kingdom,UK population estimate,65964300,358500,0.546,UKPOP
2018,years,K02000001,United Kingdom,UK population estimate,66286700,322400,0.489,UKPOP
2019,years,K02000001,United Kingdom,UK population estimate,66627500,340800,0.514,UKPOP
2020,years,K02000001,United Kingdom,UK population estimate,66739900,112400,0.169,UKPOP
2021,years,K02000001,United Kingdom,UK population estimate,66978000,238100,0.357,UKPOP
2022,years,K02000001,United Kingdom,UK population estimate,67636100,658100,0.983,UKPOP
2023,years,K02000001,United Kingdom,UK population estimate,68526200,890100,1.316,UKPOP
2024,years,K02000001,United Kingdom,UK population estimate,69281400,755200,1.102,UKPOP
2025,years,K02000001,United Kingdom,UK population estimate,69487000,205600,0.297,UKPOP
